Date,Price,Open,High,Low,Volume,Change(%),DayName,Year
2012-06-13,625.2,624.5,630.0,621.3,725429,0.18,Wednesday,2012
2012-06-12,624.05,610.55,626.5,610.55,546071,1.18,Tuesday,2012
2012-06-11,616.78,616.5,623.03,613.55,772524,0.22,Monday,2012
2012-06-08,615.45,615.6,621.3,612.08,1200122,-0.75,Friday,2012
2012-06-07,620.1,623.5,624.95,615.78,1074864,-0.88,Thursday,2012
2012-06-06,625.58,615.0,631.88,614.55,1645954,2.01,Wednesday,2012
2012-06-05,613.25,607.0,615.45,607.0,1031699,1.09,Tuesday,2012
2012-06-04,606.63,605.0,608.0,598.1,602215,-0.93,Monday,2012
2012-06-01,612.3,620.0,622.5,609.25,739764,-1.67,Friday,2012
2012-05-31,622.68,610.5,627.95,610.5,2205801,0.39,Thursday,2012
2012-05-30,620.28,615.63,628.5,615.63,790757,0.02,Wednesday,2012
2012-05-29,620.18,614.0,624.0,609.2,787516,1.28,Tuesday,2012
2012-05-28,612.35,612.0,615.0,607.53,395097,0.32,Monday,2012
2012-05-25,610.4,606.05,612.5,604.55,457523,-0.05,Friday,2012
2012-05-24,610.73,612.5,614.48,603.55,602837,-0.3,Thursday,2012
2012-05-23,612.58,616.5,617.78,607.05,1081403,0.09,Wednesday,2012
2012-05-22,612.03,610.5,620.0,606.5,1180458,1.23,Tuesday,2012
2012-05-21,604.6,605.5,612.5,602.03,1113544,-0.12,Monday,2012
2012-05-18,605.33,602.4,612.45,601.33,1328335,-0.93,Friday,2012
2012-05-17,611.0,611.0,617.5,599.53,2068762,-0.11,Thursday,2012
2012-05-16,611.7,610.0,620.95,603.38,2283968,-0.24,Wednesday,2012
2012-05-15,613.15,612.0,616.5,609.9,937755,0.03,Tuesday,2012
2012-05-14,612.98,613.65,617.0,610.0,1286876,-0.39,Monday,2012
2012-05-11,615.38,612.0,618.45,610.6,1372595,-0.15,Friday,2012
2012-05-10,616.28,612.78,620.9,612.5,1496310,0.57,Thursday,2012
2012-05-09,612.78,597.5,617.3,597.05,4635772,2.07,Wednesday,2012
2012-05-08,600.35,612.5,617.35,597.83,4815789,-5.7,Tuesday,2012
2012-05-07,636.63,630.0,639.25,624.2,1313881,-0.28,Monday,2012
2012-05-04,638.4,640.0,647.63,631.53,1785859,-0.21,Friday,2012
2012-05-03,639.75,631.35,642.05,629.28,1679461,0.97,Thursday,2012
2012-05-02,633.63,621.05,637.2,621.05,1990724,1.66,Wednesday,2012
2012-04-30,623.3,602.0,625.0,602.0,2302411,3.72,Monday,2012
2012-04-28,600.93,600.0,602.5,598.05,51873,-0.18,Saturday,2012
2012-04-27,602.0,595.0,606.0,595.0,1855573,0.78,Friday,2012
2012-04-26,597.33,585.0,600.95,582.25,2738146,2.02,Thursday,2012
2012-04-25,585.53,594.5,595.0,583.75,2708949,-1.94,Wednesday,2012
2012-04-24,597.1,561.0,602.5,558.65,9056891,12.21,Tuesday,2012
2012-04-23,532.13,546.98,551.2,523.83,1421934,-2.22,Monday,2012
2012-04-20,544.23,546.63,553.98,538.7,1225012,-1.31,Friday,2012
2012-04-19,551.48,550.45,553.4,545.55,883708,0.49,Thursday,2012
2012-04-18,548.78,550.0,557.35,546.93,1441132,0.61,Wednesday,2012
2012-04-17,545.43,542.5,547.48,536.9,1236832,1.97,Tuesday,2012
2012-04-16,534.88,532.63,537.15,526.65,2508055,0.13,Monday,2012
2012-04-13,534.18,545.68,552.35,530.63,4497340,-5.59,Friday,2012
2012-04-12,565.83,570.13,574.0,564.55,1057343,-0.57,Thursday,2012
2012-04-11,569.05,574.85,577.5,567.6,890793,-1.57,Wednesday,2012
2012-04-10,578.1,583.15,587.83,576.13,766496,-0.68,Tuesday,2012
2012-04-09,582.05,585.0,594.0,579.13,788314,-1.22,Monday,2012
2012-04-04,589.23,584.5,594.9,583.5,1082527,0.04,Wednesday,2012
2012-04-03,589.0,600.1,603.68,587.65,1134577,-1.36,Tuesday,2012
2012-04-02,597.13,585.0,599.5,585.0,1163494,2.18,Monday,2012
2012-03-30,584.4,572.75,587.88,572.75,1271671,2.42,Friday,2012
2012-03-29,570.6,575.5,582.0,566.2,1340607,-2.05,Thursday,2012
2012-03-28,582.55,587.0,587.33,577.23,1025548,-0.82,Wednesday,2012
2012-03-27,587.38,586.5,589.83,575.98,794123,1.13,Tuesday,2012
2012-03-26,580.8,588.5,592.5,577.0,1526692,-1.95,Monday,2012
2012-03-23,592.33,587.5,595.95,582.4,1579218,1.45,Friday,2012
2012-03-22,583.88,587.35,594.85,580.0,1710847,-0.68,Thursday,2012
2012-03-21,587.88,568.48,589.9,568.28,2276621,3.6,Wednesday,2012
2012-03-20,567.43,564.5,572.5,560.0,1841602,1.15,Tuesday,2012
2012-03-19,561.0,584.78,584.78,555.9,2566432,-4.07,Monday,2012
2012-03-16,584.78,584.98,590.0,579.0,1027362,0.5,Friday,2012
2012-03-15,581.85,579.5,585.48,572.5,2142118,0.79,Thursday,2012
2012-03-14,577.28,605.05,607.0,575.5,4032657,-3.55,Wednesday,2012
2012-03-13,598.5,595.0,607.48,595.0,1246232,0.67,Tuesday,2012
2012-03-12,594.53,607.95,609.43,591.6,1120139,-1.61,Monday,2012
2012-03-09,604.28,613.5,613.5,601.48,1112879,1.32,Friday,2012
2012-03-07,596.43,597.5,603.0,593.28,972833,-0.76,Wednesday,2012
2012-03-06,601.0,601.5,610.65,594.5,858861,-0.44,Tuesday,2012
2012-03-05,603.65,607.0,611.23,600.5,770439,-0.91,Monday,2012
2012-03-03,609.2,609.5,611.93,606.5,32711,0.09,Saturday,2012
2012-03-02,608.63,613.0,613.5,603.5,1154616,-0.19,Friday,2012
2012-03-01,609.8,611.5,613.48,605.03,784297,-0.19,Thursday,2012
2012-02-29,610.98,620.0,620.0,606.13,1530108,-0.38,Wednesday,2012
2012-02-28,613.28,627.63,630.2,609.55,1986745,-2.04,Tuesday,2012
2012-02-27,626.03,639.5,639.98,622.8,930685,-1.41,Monday,2012
2012-02-24,635.0,629.5,640.43,628.63,1173200,0.81,Friday,2012
2012-02-23,629.9,624.53,637.45,622.0,2043440,0.59,Thursday,2012
2012-02-22,626.18,617.5,633.43,614.5,1570913,1.24,Wednesday,2012
2012-02-21,618.53,611.78,620.0,602.38,1244752,0.68,Tuesday,2012
2012-02-17,614.38,617.43,627.0,610.5,2048284,0.28,Friday,2012
2012-02-16,612.68,619.0,621.0,609.0,943330,-1.31,Thursday,2012
2012-02-15,620.8,613.58,624.4,609.75,1083583,1.77,Wednesday,2012
2012-02-14,610.0,612.5,614.78,607.5,913323,-0.47,Tuesday,2012
2012-02-13,612.85,611.1,618.98,607.0,815885,-0.62,Monday,2012
2012-02-10,616.7,614.0,619.0,606.0,1162151,0.39,Friday,2012
2012-02-09,614.3,605.55,616.0,594.0,1519031,0.73,Thursday,2012
2012-02-08,609.83,608.2,613.43,605.5,1813592,1.81,Wednesday,2012
2012-02-07,599.0,604.85,604.85,595.95,1703828,0.35,Tuesday,2012
2012-02-06,596.93,591.85,600.03,586.68,1713598,1.9,Monday,2012
2012-02-03,585.78,572.5,588.0,570.5,1388779,2.05,Friday,2012
2012-02-02,574.0,568.0,576.33,565.15,1693070,1.71,Thursday,2012
2012-02-01,564.35,564.7,567.5,554.13,1144402,-0.33,Wednesday,2012
2012-01-31,566.2,556.5,567.95,556.5,1769060,1.86,Tuesday,2012
2012-01-30,555.88,551.25,559.48,550.38,1297779,0.27,Monday,2012
2012-01-27,554.38,552.5,560.28,550.05,2604859,0.98,Friday,2012
2012-01-25,549.0,547.45,554.98,545.53,2922619,0.85,Wednesday,2012
2012-01-24,544.35,544.0,547.5,539.0,1320655,1.02,Tuesday,2012
2012-01-23,538.85,543.0,545.73,537.08,1065248,-0.17,Monday,2012
2012-01-20,539.75,539.98,545.48,536.5,1286347,0.37,Friday,2012
2012-01-19,537.78,543.5,544.45,532.7,2081646,-0.06,Thursday,2012
2012-01-18,538.08,540.0,548.15,522.65,5832766,-2.52,Wednesday,2012
2012-01-17,551.98,559.95,562.35,547.0,1852109,-0.49,Tuesday,2012
2012-01-16,554.7,542.0,557.0,539.45,1523601,2.18,Monday,2012
2012-01-13,542.88,548.58,551.68,536.5,2009914,-0.34,Friday,2012
2012-01-12,544.75,550.5,557.5,534.33,4764342,-4.18,Thursday,2012
2012-01-11,568.5,585.7,587.5,566.58,2837690,-2.44,Wednesday,2012
2012-01-10,582.7,587.5,592.75,579.25,1795895,-0.51,Tuesday,2012
2012-01-09,585.68,585.5,589.85,582.63,754514,-0.1,Monday,2012
2012-01-07,586.25,585.0,589.38,585.0,67051,0.27,Saturday,2012
2012-01-06,584.7,583.0,594.18,578.4,1059864,-0.22,Friday,2012
2012-01-05,586.0,586.4,592.5,583.68,1273656,-0.09,Thursday,2012
2012-01-04,586.5,602.45,602.5,584.65,1193385,-2.05,Wednesday,2012
2012-01-03,598.8,591.63,604.95,590.0,1354442,1.61,Tuesday,2012
2012-01-02,589.3,580.5,592.98,576.5,1124271,1.55,Monday,2012
2011-12-30,580.33,589.0,591.25,578.25,772705,-0.43,Friday,2011
2011-12-29,582.85,581.75,589.05,579.75,792864,-0.3,Thursday,2011
2011-12-28,584.6,589.35,591.78,582.95,598955,-0.87,Wednesday,2011
2011-12-27,589.73,592.7,595.0,585.0,491951,-0.75,Tuesday,2011
2011-12-26,594.2,578.58,595.1,576.75,1114676,2.7,Monday,2011
2011-12-23,578.58,575.5,581.0,569.55,789295,0.47,Friday,2011
2011-12-22,575.85,576.0,581.93,567.13,1043134,-0.6,Thursday,2011
2011-12-21,579.35,575.0,583.0,561.23,1558488,2.24,Wednesday,2011
2011-12-20,566.68,572.68,575.55,564.13,904698,-0.9,Tuesday,2011
2011-12-19,571.83,569.5,578.7,557.2,1833862,-0.23,Monday,2011
2011-12-16,573.15,588.28,591.28,566.15,1775448,-3.06,Friday,2011
2011-12-15,591.25,589.85,594.95,577.3,1834686,0.0,Thursday,2011
2011-12-14,591.23,590.25,594.5,585.0,1673088,0.32,Wednesday,2011
2011-12-13,589.35,587.5,598.45,583.33,1637279,-0.14,Tuesday,2011
2011-12-12,590.18,588.0,595.0,577.55,1586085,0.68,Monday,2011
2011-12-09,586.2,580.5,591.4,580.5,1381615,-0.44,Friday,2011
2011-12-08,588.8,585.0,594.5,583.58,1663222,-0.17,Thursday,2011
2011-12-07,589.78,590.0,596.45,586.8,1318711,-0.12,Wednesday,2011
2011-12-05,590.48,586.25,591.95,581.28,765238,0.25,Monday,2011
2011-12-02,589.0,567.43,592.5,564.8,1984433,3.81,Friday,2011
2011-12-01,567.4,570.0,574.28,563.1,1240724,1.72,Thursday,2011
2011-11-30,557.78,540.58,561.48,540.58,1740849,2.04,Wednesday,2011
2011-11-29,546.65,546.5,552.95,543.1,1277348,0.44,Tuesday,2011
2011-11-28,544.25,538.98,548.0,537.0,752243,2.31,Monday,2011
2011-11-25,531.95,542.5,543.95,528.55,1070302,-2.56,Friday,2011
2011-11-24,545.9,531.0,548.2,522.5,1883422,2.78,Thursday,2011
2011-11-23,531.15,540.98,540.98,520.5,1177875,-1.81,Wednesday,2011
2011-11-22,540.93,534.45,547.5,528.5,1861791,1.37,Tuesday,2011
2011-11-21,533.6,542.5,544.15,530.05,1435852,-1.79,Monday,2011
2011-11-18,543.3,552.88,554.9,538.15,1394721,-2.56,Friday,2011
2011-11-17,557.58,557.5,561.75,553.8,695994,-0.19,Thursday,2011
2011-11-16,558.63,563.0,566.4,552.6,935801,-0.64,Wednesday,2011
2011-11-15,562.2,562.53,569.48,560.0,734239,-0.35,Tuesday,2011
2011-11-14,564.2,570.0,578.0,562.25,1164575,-0.23,Monday,2011
2011-11-11,565.5,555.0,570.5,553.63,1814795,0.72,Friday,2011
2011-11-09,561.48,555.0,573.0,553.15,1960990,1.6,Wednesday,2011
2011-11-08,552.63,548.0,557.4,548.0,846052,0.5,Tuesday,2011
2011-11-04,549.9,560.5,562.5,543.6,1358004,-0.47,Friday,2011
